楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
L3,L3|2.1,ls,Core/Lift/Stair Wall,Aug'26,,,18/8/2026,28/9/2026
L3,L3|2.1,ls,Core/Lift/Stair Wall,Sep'26,,,18/8/2026,28/9/2026
L3,L3|2.1,mbeam,Steel Main Beam,Sep'26,1,,10/9/2026,14/9/2026
L3,L3|2.1,cbeam,Cast Steel Main Beam,Sep'26,1,,15/9/2026,23/9/2026
L3,L3|2.1,col,Column,Oct'26,1,,12/10/2026,20/10/2026
L3,L3|2.1,act_colcorbel,Column Cobel,Oct'26,1,,21/10/2026,23/10/2026
L3,L3|2.1,slab,Slab,Mar'27,169,,18/3/2027,15/4/2027
L3,L3|2.1,slab,Slab,Apr'27,182,,18/3/2027,15/4/2027
L3,L3|2.1CIS,mbeam,Steel Main Beam,Sep'26,7,,11/9/2026,26/9/2026
L3,L3|2.1CIS,cbeam,Cast Steel Main Beam,Sep'26,2,,28/9/2026,6/10/2026
L3,L3|2.1CIS,cbeam,Cast Steel Main Beam,Oct'26,5,,28/9/2026,6/10/2026
L3,L3|2.1CIS,slab,Slab,Oct'26,466,,7/10/2026,5/11/2026
L3,L3|2.1CIS,slab,Slab,Nov'26,93,,7/10/2026,5/11/2026
L3,L3|2.1CIS,ls,Core/Lift/Stair Wall,Nov'26,1,,6/11/2026,17/12/2026
L3,L3|2.1CIS,ls,Core/Lift/Stair Wall,Dec'26,1,,6/11/2026,17/12/2026
L3,L3|2.1CIS,col,Column,Nov'26,1,,30/11/2026,8/12/2026
L3,L3|2.1CIS,col,Column,Dec'26,5,,30/11/2026,8/12/2026
L3,L3|2.1CIS,act_colcorbel,Column Cobel,Dec'26,6,,9/12/2026,11/12/2026
L3,L3|2.1CIST,mbeam,Steel Main Beam,Oct'26,,,5/10/2026,5/10/2026
L3,L3|2.1CIST,cbeam,Cast Steel Main Beam,Oct'26,,,6/10/2026,14/10/2026
L3,L3|2.1CIST,slab,Slab,Oct'26,90,,15/10/2026,13/11/2026
L3,L3|2.1CIST,slab,Slab,Nov'26,69,,15/10/2026,13/11/2026
L3,L3|2.1CIST,col,Column,Nov'26,2,,16/11/2026,24/11/2026
L3,L3|2.1CIST,act_colcorbel,Column Cobel,Nov'26,2,,25/11/2026,27/11/2026
L3,L3|2.1T,ls,Core/Lift/Stair Wall,Sep'26,1,,17/9/2026,28/10/2026
L3,L3|2.1T,ls,Core/Lift/Stair Wall,Oct'26,0,,17/9/2026,28/10/2026
L3,L3|2.1T,col,Column,Sep'26,1,,28/9/2026,6/10/2026
L3,L3|2.1T,col,Column,Oct'26,2,,28/9/2026,6/10/2026
L3,L3|2.1T,act_colcorbel,Column Cobel,Oct'26,3,,7/10/2026,9/10/2026
L3,L3|2.1T,mbeam,Steel Main Beam,Aug'26,,,27/8/2026,14/9/2026
L3,L3|2.1T,mbeam,Steel Main Beam,Sep'26,,,27/8/2026,14/9/2026
L3,L3|2.1T,cbeam,Cast Steel Main Beam,Sep'26,,,17/9/2026,25/9/2026
L3,L3|2.1T,slab,Slab,Feb'27,104,,23/2/2027,23/3/2027
L3,L3|2.1T,slab,Slab,Mar'27,399,,23/2/2027,23/3/2027
L3,L3|2.2,mbeam,Steel Main Beam,Nov'26,4,,27/11/2026,1/12/2026
