楼层,分区,活动,活动名称(参考),月份,计划量,完成量,活动开始,活动结束
L4,L4|2.1,ls,Core/Lift/Stair Wall,Sep'26,,,2026-09-29,2026-11-09
L4,L4|2.1,ls,Core/Lift/Stair Wall,Oct'26,,,2026-09-29,2026-11-09
L4,L4|2.1,ls,Core/Lift/Stair Wall,Nov'26,,,2026-09-29,2026-11-09
L4,L4|2.1,mbeam,Steel Main Beam,Oct'26,1,,2026-10-26,2026-10-28
L4,L4|2.1,cbeam,Cast Steel Main Beam,Oct'26,1,,2026-10-29,2026-11-06
L4,L4|2.1,cbeam,Cast Steel Main Beam,Nov'26,0,,2026-10-29,2026-11-06
L4,L4|2.1,slab,Slab,Nov'26,266,,2026-11-09,2026-12-07
L4,L4|2.1,slab,Slab,Dec'26,85,,2026-11-09,2026-12-07
L4,L4|2.1,col,Column,Dec'26,1,,2026-12-28,2027-01-05
L4,L4|2.1,col,Column,Jan'27,0,,2026-12-28,2027-01-05
L4,L4|2.1,act_colcorbel,Column Cobel,Jan'27,1,,2027-01-06,2027-01-08
L4,L4|2.1CIS,mbeam,Steel Main Beam,Dec'26,5,,2026-12-14,2027-01-08
L4,L4|2.1CIS,mbeam,Steel Main Beam,Jan'27,2,,2026-12-14,2027-01-08
L4,L4|2.1CIS,cbeam,Cast Steel Main Beam,Jan'27,7,,2027-01-11,2027-01-19
L4,L4|2.1CIS,slab,Slab,Jan'27,224,,2027-01-20,2027-02-18
L4,L4|2.1CIS,slab,Slab,Feb'27,335,,2027-01-20,2027-02-18
L4,L4|2.1CIS,col,Column,Feb'27,5,,2027-02-19,2027-03-01
L4,L4|2.1CIS,col,Column,Mar'27,1,,2027-02-19,2027-03-01
L4,L4|2.1CIS,ls,Core/Lift/Stair Wall,Feb'27,1,,2027-02-19,2027-04-01
L4,L4|2.1CIS,ls,Core/Lift/Stair Wall,Mar'27,1,,2027-02-19,2027-04-01
L4,L4|2.1CIS,ls,Core/Lift/Stair Wall,Apr'27,0,,2027-02-19,2027-04-01
L4,L4|2.1CIS,act_colcorbel,Column Cobel,Mar'27,6,,2027-03-02,2027-03-04
L4,L4|2.1CIST,mbeam,Steel Main Beam,Nov'26,,,2026-11-30,2026-11-30
L4,L4|2.1CIST,cbeam,Cast Steel Main Beam,Dec'26,,,2026-12-01,2026-12-09
L4,L4|2.1CIST,slab,Slab,Dec'26,83,,2026-12-10,2027-01-20
L4,L4|2.1CIST,slab,Slab,Jan'27,76,,2026-12-10,2027-01-20
L4,L4|2.1CIST,col,Column,Jan'27,2,,2027-01-21,2027-01-29
L4,L4|2.1CIST,act_colcorbel,Column Cobel,Feb'27,2,,2027-02-01,2027-02-03
L4,L4|2.1T,mbeam,Steel Main Beam,Oct'26,,,2026-10-12,2026-10-28
L4,L4|2.1T,cbeam,Cast Steel Main Beam,Oct'26,,,2026-10-29,2026-11-06
L4,L4|2.1T,cbeam,Cast Steel Main Beam,Nov'26,,,2026-10-29,2026-11-06
L4,L4|2.1T,ls,Core/Lift/Stair Wall,Oct'26,1,,2026-10-29,2026-12-09
L4,L4|2.1T,ls,Core/Lift/Stair Wall,Nov'26,0,,2026-10-29,2026-12-09
L4,L4|2.1T,ls,Core/Lift/Stair Wall,Dec'26,0,,2026-10-29,2026-12-09
L4,L4|2.1T,slab,Slab,Nov'26,382,,2026-11-09,2026-12-07
L4,L4|2.1T,slab,Slab,Dec'26,121,,2026-11-09,2026-12-07
L4,L4|2.1T,col,Column,Dec'26,3,,2026-12-14,2026-12-22
L4,L4|2.1T,act_colcorbel,Column Cobel,Dec'26,3,,2026-12-23,2026-12-25
L4,L4|2.2,mbeam,Steel Main Beam,Jan'27,5,,2027-01-19,2027-01-21
L4,L4|2.2,cbeam,Cast Steel Main Beam,Jan'27,5,,2027-01-22,2027-02-01
L4,L4|2.2,cbeam,Cast Steel Main Beam,Feb'27,0,,2027-01-22,2027-02-01
L4,L4|2.2,col,Column,Feb'27,4,,2027-02-16,2027-02-24
L4,L4|2.2,act_colcorbel,Column Cobel,Feb'27,3,,2027-02-25,2027-03-01
L4,L4|2.2,act_colcorbel,Column Cobel,Mar'27,1,,2027-02-25,2027-03-01
L4,L4|2.2T,mbeam,Steel Main Beam,Jan'27,10,,2027-01-05,2027-01-12
L4,L4|2.2T,cbeam,Cast Steel Main Beam,Jan'27,10,,2027-01-13,2027-01-21
L4,L4|2.2T,slab,Slab,Jan'27,285,,2027-01-22,2027-02-19
L4,L4|2.2T,slab,Slab,Feb'27,541,,2027-01-22,2027-02-19
L4,L4|2.2T,col,Column,Jan'27,5,,2027-01-22,2027-02-10
L4,L4|2.2T,col,Column,Feb'27,4,,2027-01-22,2027-02-10
L4,L4|2.2T,ls,Core/Lift/Stair Wall,Jan'27,1,,2027-01-22,2027-03-04
L4,L4|2.2T,ls,Core/Lift/Stair Wall,Feb'27,0,,2027-01-22,2027-03-04
L4,L4|2.2T,ls,Core/Lift/Stair Wall,Mar'27,0,,2027-01-22,2027-03-04
L4,L4|2.2T,act_colcorbel,Column Cobel,Feb'27,9,,2027-02-11,2027-02-15
L4,L4|2.3CIST,mbeam,Steel Main Beam,Nov'26,2,,2026-11-17,2026-12-14
L4,L4|2.3CIST,mbeam,Steel Main Beam,Dec'26,2,,2026-11-17,2026-12-14
L4,L4|2.3CIST,cbeam,Cast Steel Main Beam,Dec'26,4,,2026-12-15,2026-12-23
L4,L4|2.3CIST,slab,Slab,Dec'26,115,,2026-12-24,2027-01-27
L4,L4|2.3CIST,slab,Slab,Jan'27,386,,2026-12-24,2027-01-27
L4,L4|2.3CIST,ls,Core/Lift/Stair Wall,Jan'27,1,,2027-01-28,2027-03-10
L4,L4|2.3CIST,ls,Core/Lift/Stair Wall,Feb'27,0,,2027-01-28,2027-03-10
L4,L4|2.3CIST,ls,Core/Lift/Stair Wall,Mar'27,0,,2027-01-28,2027-03-10
L4,L4|2.3CIST,col,Column,Jan'27,1,,2027-01-28,2027-02-05
L4,L4|2.3CIST,col,Column,Feb'27,2,,2027-01-28,2027-02-05
L4,L4|2.3CIST,act_colcorbel,Column Cobel,Feb'27,3,,2027-02-08,2027-02-10
L4,L4|2.3T,mbeam,Steel Main Beam,Sep'26,7,,2026-09-18,2026-09-28
L4,L4|2.3T,cbeam,Cast Steel Main Beam,Sep'26,2,,2026-09-29,2026-10-07
L4,L4|2.3T,cbeam,Cast Steel Main Beam,Oct'26,5,,2026-09-29,2026-10-07
L4,L4|2.3T,slab,Slab,Oct'26,938,,2026-10-08,2026-11-06
L4,L4|2.3T,slab,Slab,Nov'26,235,,2026-10-08,2026-11-06
L4,L4|2.3T,col,Column,Nov'26,5,,2026-11-17,2026-11-25
L4,L4|2.3T,act_colcorbel,Column Cobel,Nov'26,5,,2026-11-26,2026-11-30
L4,L4|2.4,slab,Slab,Oct'26,27,,2026-10-29,2026-11-26
L4,L4|2.4,slab,Slab,Nov'26,233,,2026-10-29,2026-11-26
L4,L4|2.4,cbeam,Cast Steel Main Beam,Oct'26,,,2026-10-20,2026-10-28
L4,L4|2.4T,mbeam,Steel Main Beam,Nov'26,6,,2026-11-20,2026-11-30
L4,L4|2.4T,cbeam,Cast Steel Main Beam,Dec'26,6,,2026-12-01,2026-12-09
L4,L4|2.4T,slab,Slab,Dec'26,531,,2026-12-10,2027-01-07
L4,L4|2.4T,slab,Slab,Jan'27,169,,2026-12-10,2027-01-07
L4,L4|2.4T,col,Column,Jan'27,6,,2027-01-08,2027-01-18
L4,L4|2.4T,act_colcorbel,Column Cobel,Jan'27,6,,2027-01-19,2027-01-21
L4,L4|2.4T,ls,Core/Lift/Stair Wall,Feb'27,1,,2027-02-09,2027-03-10
L4,L4|2.4T,ls,Core/Lift/Stair Wall,Mar'27,0,,2027-02-09,2027-03-10
L4,L4|2.6CIS,mbeam,Steel Main Beam,Jan'27,1,,2027-01-15,2027-01-25
L4,L4|2.6CIS,cbeam,Cast Steel Main Beam,Jan'27,1,,2027-01-26,2027-02-03
L4,L4|2.6CIS,cbeam,Cast Steel Main Beam,Feb'27,0,,2027-01-26,2027-02-03
L4,L4|2.6CIS,slab,Slab,Feb'27,405,,2027-02-12,2027-03-03
