来源文件,位置(程序键),楼层,分区,类型,数值/名称,说明
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1HB74""]",L1,SLAB 3A,登记表梁构件,MKB-1HB74,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1HB75""]",L1,SLAB 3A,登记表梁构件,MKB-1HB75,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1HB76""]",L1,SLAB 3A,登记表梁构件,MKB-1HB76,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1HB77""]",L1,SLAB 3A,登记表梁构件,MKB-1HB77,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1HB78""]",L1,SLAB 3A,登记表梁构件,MKB-1HB78,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB68b""]",L1,SLAB 3A,登记表梁构件,MKB-1VB68b,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB82""]",L1,SLAB 3A,登记表梁构件,MKB-1VB82,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB83""]",L1,SLAB 3A,登记表梁构件,MKB-1VB83,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB84""]",L1,SLAB 3A,登记表梁构件,MKB-1VB84,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB91""]",L1,SLAB 3A,登记表梁构件,MKB-1VB91,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB92""]",L1,SLAB 3A,登记表梁构件,MKB-1VB92,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB93""]",L1,SLAB 3A,登记表梁构件,MKB-1VB93,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB100""]",L1,SLAB 3A,登记表梁构件,MKB-1VB100,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB106""]",L1,SLAB 3A,登记表梁构件,MKB-1VB106,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3A""].beam.beams[id=""MKB-1VB107""]",L1,SLAB 3A,登记表梁构件,MKB-1VB107,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam",L1,SLAB 3B,登记表梁数量,"主梁nos=0, 钢梁sbNos=0, 明细16条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1HB58b""]",L1,SLAB 3B,登记表梁构件,MKB-1HB58b,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1HB59a""]",L1,SLAB 3B,登记表梁构件,MKB-1HB59a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1HB67""]",L1,SLAB 3B,登记表梁构件,MKB-1HB67,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1HB68""]",L1,SLAB 3B,登记表梁构件,MKB-1HB68,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1HB79""]",L1,SLAB 3B,登记表梁构件,MKB-1HB79,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1HB80""]",L1,SLAB 3B,登记表梁构件,MKB-1HB80,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1HB81""]",L1,SLAB 3B,登记表梁构件,MKB-1HB81,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB75a""]",L1,SLAB 3B,登记表梁构件,MKB-1VB75a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB80""]",L1,SLAB 3B,登记表梁构件,MKB-1VB80,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB81""]",L1,SLAB 3B,登记表梁构件,MKB-1VB81,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB89""]",L1,SLAB 3B,登记表梁构件,MKB-1VB89,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB90""]",L1,SLAB 3B,登记表梁构件,MKB-1VB90,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB99""]",L1,SLAB 3B,登记表梁构件,MKB-1VB99,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB104""]",L1,SLAB 3B,登记表梁构件,MKB-1VB104,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB105""]",L1,SLAB 3B,登记表梁构件,MKB-1VB105,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3B""].beam.beams[id=""MKB-1VB111""]",L1,SLAB 3B,登记表梁构件,MKB-1VB111,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam",L1,SLAB 3C,登记表梁数量,"主梁nos=0, 钢梁sbNos=0, 明细8条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1HB60""]",L1,SLAB 3C,登记表梁构件,MKB-1HB60,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1HB69""]",L1,SLAB 3C,登记表梁构件,MKB-1HB69,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1HB70""]",L1,SLAB 3C,登记表梁构件,MKB-1HB70,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1VB75""]",L1,SLAB 3C,登记表梁构件,MKB-1VB75,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1VB75b""]",L1,SLAB 3C,登记表梁构件,MKB-1VB75b,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1VB75d""]",L1,SLAB 3C,登记表梁构件,MKB-1VB75d,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1VB78""]",L1,SLAB 3C,登记表梁构件,MKB-1VB78,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C""].beam.beams[id=""MKB-1VB79""]",L1,SLAB 3C,登记表梁构件,MKB-1VB79,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam",L1,SLAB 3C-1,登记表梁数量,"主梁nos=0, 钢梁sbNos=0, 明细7条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam.beams[id=""MKB-1HB40""]",L1,SLAB 3C-1,登记表梁构件,MKB-1HB40,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam.beams[id=""MKB-1HB41""]",L1,SLAB 3C-1,登记表梁构件,MKB-1HB41,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam.beams[id=""MKB-1HB51""]",L1,SLAB 3C-1,登记表梁构件,MKB-1HB51,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam.beams[id=""MKB-1HB52""]",L1,SLAB 3C-1,登记表梁构件,MKB-1HB52,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam.beams[id=""MKB-1VB54""]",L1,SLAB 3C-1,登记表梁构件,MKB-1VB54,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam.beams[id=""MKB-1VB65""]",L1,SLAB 3C-1,登记表梁构件,MKB-1VB65,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 3C-1""].beam.beams[id=""MKB-1VB66""]",L1,SLAB 3C-1,登记表梁构件,MKB-1VB66,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam",L1,SLAB 4A,登记表梁数量,"主梁nos=0, 钢梁sbNos=1, 明细23条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB53""]",L1,SLAB 4A,登记表梁构件,MKB-1HB53,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB54""]",L1,SLAB 4A,登记表梁构件,MKB-1HB54,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB55""]",L1,SLAB 4A,登记表梁构件,MKB-1HB55,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB56""]",L1,SLAB 4A,登记表梁构件,MKB-1HB56,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB62""]",L1,SLAB 4A,登记表梁构件,MKB-1HB62,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB63""]",L1,SLAB 4A,登记表梁构件,MKB-1HB63,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB71""]",L1,SLAB 4A,登记表梁构件,MKB-1HB71,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB72""]",L1,SLAB 4A,登记表梁构件,MKB-1HB72,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1HB73""]",L1,SLAB 4A,登记表梁构件,MKB-1HB73,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB76""]",L1,SLAB 4A,登记表梁构件,MKB-1VB76,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB85""]",L1,SLAB 4A,登记表梁构件,MKB-1VB85,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB86""]",L1,SLAB 4A,登记表梁构件,MKB-1VB86,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB87""]",L1,SLAB 4A,登记表梁构件,MKB-1VB87,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB94""]",L1,SLAB 4A,登记表梁构件,MKB-1VB94,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB95""]",L1,SLAB 4A,登记表梁构件,MKB-1VB95,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB96""]",L1,SLAB 4A,登记表梁构件,MKB-1VB96,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB97""]",L1,SLAB 4A,登记表梁构件,MKB-1VB97,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB101""]",L1,SLAB 4A,登记表梁构件,MKB-1VB101,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB108""]",L1,SLAB 4A,登记表梁构件,MKB-1VB108,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB109""]",L1,SLAB 4A,登记表梁构件,MKB-1VB109,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB110""]",L1,SLAB 4A,登记表梁构件,MKB-1VB110,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB132""]",L1,SLAB 4A,登记表梁构件,MKB-1VB132,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4A""].beam.beams[id=""MKB-1VB133""]",L1,SLAB 4A,登记表梁构件,MKB-1VB133,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam",L1,SLAB 4B,登记表梁数量,"主梁nos=0, 钢梁sbNos=0, 明细27条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB82""]",L1,SLAB 4B,登记表梁构件,MKB-1HB82,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB83""]",L1,SLAB 4B,登记表梁构件,MKB-1HB83,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB91""]",L1,SLAB 4B,登记表梁构件,MKB-1HB91,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB92""]",L1,SLAB 4B,登记表梁构件,MKB-1HB92,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB104""]",L1,SLAB 4B,登记表梁构件,MKB-1HB104,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB105""]",L1,SLAB 4B,登记表梁构件,MKB-1HB105,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB106""]",L1,SLAB 4B,登记表梁构件,MKB-1HB106,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB106a""]",L1,SLAB 4B,登记表梁构件,MKB-1HB106a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB107""]",L1,SLAB 4B,登记表梁构件,MKB-1HB107,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB107a""]",L1,SLAB 4B,登记表梁构件,MKB-1HB107a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB108""]",L1,SLAB 4B,登记表梁构件,MKB-1HB108,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB108a""]",L1,SLAB 4B,登记表梁构件,MKB-1HB108a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB109""]",L1,SLAB 4B,登记表梁构件,MKB-1HB109,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB110""]",L1,SLAB 4B,登记表梁构件,MKB-1HB110,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB111""]",L1,SLAB 4B,登记表梁构件,MKB-1HB111,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1HB112""]",L1,SLAB 4B,登记表梁构件,MKB-1HB112,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB119""]",L1,SLAB 4B,登记表梁构件,MKB-1VB119,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB120""]",L1,SLAB 4B,登记表梁构件,MKB-1VB120,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB121""]",L1,SLAB 4B,登记表梁构件,MKB-1VB121,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB129""]",L1,SLAB 4B,登记表梁构件,MKB-1VB129,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB130""]",L1,SLAB 4B,登记表梁构件,MKB-1VB130,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB131""]",L1,SLAB 4B,登记表梁构件,MKB-1VB131,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB142""]",L1,SLAB 4B,登记表梁构件,MKB-1VB142,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB144""]",L1,SLAB 4B,登记表梁构件,MKB-1VB144,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB151""]",L1,SLAB 4B,登记表梁构件,MKB-1VB151,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB152""]",L1,SLAB 4B,登记表梁构件,MKB-1VB152,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 4B""].beam.beams[id=""MKB-1VB153""]",L1,SLAB 4B,登记表梁构件,MKB-1VB153,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam",L1,SLAB 5A,登记表梁数量,"主梁nos=0, 钢梁sbNos=0, 明细12条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1HB89""]",L1,SLAB 5A,登记表梁构件,MKB-1HB89,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1HB90""]",L1,SLAB 5A,登记表梁构件,MKB-1HB90,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1HB101""]",L1,SLAB 5A,登记表梁构件,MKB-1HB101,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1HB102""]",L1,SLAB 5A,登记表梁构件,MKB-1HB102,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB98""]",L1,SLAB 5A,登记表梁构件,MKB-1VB98,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB103""]",L1,SLAB 5A,登记表梁构件,MKB-1VB103,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB111a""]",L1,SLAB 5A,登记表梁构件,MKB-1VB111a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB114""]",L1,SLAB 5A,登记表梁构件,MKB-1VB114,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB115""]",L1,SLAB 5A,登记表梁构件,MKB-1VB115,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB116""]",L1,SLAB 5A,登记表梁构件,MKB-1VB116,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB122""]",L1,SLAB 5A,登记表梁构件,MKB-1VB122,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5A""].beam.beams[id=""MKB-1VB126""]",L1,SLAB 5A,登记表梁构件,MKB-1VB126,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam",L1,SLAB 5B,登记表梁数量,"主梁nos=0, 钢梁sbNos=1, 明细36条",levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB84""]",L1,SLAB 5B,登记表梁构件,MKB-1HB84,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB85""]",L1,SLAB 5B,登记表梁构件,MKB-1HB85,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB86""]",L1,SLAB 5B,登记表梁构件,MKB-1HB86,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB87""]",L1,SLAB 5B,登记表梁构件,MKB-1HB87,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB88""]",L1,SLAB 5B,登记表梁构件,MKB-1HB88,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB93""]",L1,SLAB 5B,登记表梁构件,MKB-1HB93,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB113""]",L1,SLAB 5B,登记表梁构件,MKB-1HB113,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB114""]",L1,SLAB 5B,登记表梁构件,MKB-1HB114,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB115""]",L1,SLAB 5B,登记表梁构件,MKB-1HB115,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB117""]",L1,SLAB 5B,登记表梁构件,MKB-1HB117,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB119""]",L1,SLAB 5B,登记表梁构件,MKB-1HB119,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB121""]",L1,SLAB 5B,登记表梁构件,MKB-1HB121,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB121a""]",L1,SLAB 5B,登记表梁构件,MKB-1HB121a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB122""]",L1,SLAB 5B,登记表梁构件,MKB-1HB122,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB124""]",L1,SLAB 5B,登记表梁构件,MKB-1HB124,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB128a""]",L1,SLAB 5B,登记表梁构件,MKB-1HB128a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB129""]",L1,SLAB 5B,登记表梁构件,MKB-1HB129,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB133""]",L1,SLAB 5B,登记表梁构件,MKB-1HB133,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1HB145""]",L1,SLAB 5B,登记表梁构件,MKB-1HB145,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1VB112""]",L1,SLAB 5B,登记表梁构件,MKB-1VB112,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1VB117""]",L1,SLAB 5B,登记表梁构件,MKB-1VB117,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1VB118""]",L1,SLAB 5B,登记表梁构件,MKB-1VB118,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1VB118a""]",L1,SLAB 5B,登记表梁构件,MKB-1VB118a,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1VB123""]",L1,SLAB 5B,登记表梁构件,MKB-1VB123,levels仅L1却登记了梁 — 请人工核对后删除
zp-data.global.js,"ZP.qty[""SLAB 5B""].beam.beams[id=""MKB-1VB124""]",L1,SLAB 5B,登记表梁构件,MKB-1VB124,levels仅L1却登记了梁 — 请人工核对后删除
